iter	Accuracy	Logloss
0	0.8336497983	0.6823367977
1	0.8346212723	0.6717828689
2	0.8361005623	0.6617180502
3	0.8356442639	0.6522807681
4	0.8358356148	0.6428069069
5	0.8360564044	0.6335506743
6	0.8358356148	0.6247665978
7	0.8359901675	0.6162634947
8	0.8360564044	0.6084075834
9	0.8362403957	0.6003717789
10	0.8363728694	0.5929687849
11	0.836380229	0.5859092304
12	0.8362919132	0.5790461396
13	0.8362992729	0.5722005193
14	0.8362403957	0.5656497172
15	0.8361888781	0.5592782192
16	0.8361667991	0.5531346527
17	0.8363139922	0.5471454522
18	0.8362403957	0.5416166296
19	0.8361447202	0.5362254082
20	0.8361888781	0.5309963656
21	0.8361594395	0.5259904135
22	0.8361152816	0.5211498501
23	0.8361667991	0.5164851018
24	0.8360490447	0.5121793948
25	0.8360343254	0.5078074382
26	0.8360122465	0.5037832367
27	0.8361300009	0.4998812486
28	0.8359607289	0.4960674487
29	0.8361005623	0.4923230168
30	0.8361079219	0.4888128064
31	0.8360416851	0.4852816261
32	0.8361373605	0.4820063008
33	0.8360784833	0.4787889355
34	0.8359607289	0.4756544303
35	0.836063764	0.4725240334
36	0.8361079219	0.4695804269
37	0.8361226412	0.4668225946
38	0.8361741588	0.464038731
39	0.836255115	0.4614805032
40	0.8362035974	0.459158171
41	0.8361667991	0.4566522214
42	0.836210957	0.454338761
43	0.8361888781	0.4521070872
44	0.8360711237	0.4499500324
45	0.8360343254	0.4477860051
46	0.8361152816	0.4458266253
47	0.8361741588	0.4438915394
48	0.8361152816	0.4419692302
49	0.8361962377	0.4402686127
50	0.8361520798	0.4385769197
51	0.8361447202	0.4369448699
52	0.8362183167	0.4353672114
53	0.8362183167	0.4338073585
54	0.8362403957	0.4322071866
55	0.836255115	0.4307317399
56	0.8362477553	0.4293745314
57	0.8363875887	0.4280073463
58	0.8364170273	0.4266887109
59	0.8364685448	0.4253779227
60	0.8364979835	0.4240984749
61	0.8364611852	0.4229127824
62	0.8364538255	0.4216847778
63	0.8364979835	0.4205386721
64	0.8365347817	0.4194230447
65	0.8365421414	0.4183459963
66	0.8366010186	0.4172771248
67	0.8365789396	0.4162469291
68	0.8366010186	0.4153067622
69	0.8366010186	0.4143921013
70	0.8366230975	0.4134474335
71	0.8365862993	0.4125051287
72	0.8365568607	0.4116639725
73	0.83657158	0.4108280353
74	0.8365789396	0.4100149189
75	0.8366304572	0.4092968849
76	0.83657158	0.4085692041
77	0.8365936589	0.4077823572
78	0.8366304572	0.4070650163
79	0.8366451765	0.4064254344
80	0.8367114133	0.4056945053
81	0.8366819747	0.405022815
82	0.8367334923	0.4044003766
83	0.8367114133	0.4038020082
84	0.8365862993	0.4032064229
85	0.8366525361	0.4026284533
86	0.8366378168	0.4020630995
87	0.8366598958	0.4015188624
88	0.8366378168	0.4010923535
89	0.8366083782	0.4006250615
90	0.8366525361	0.4001428966
91	0.8366525361	0.3996452324
92	0.8366746151	0.3991653647
93	0.8366525361	0.3987295551
94	0.8366672554	0.3982769979
95	0.8366893344	0.3977748241
96	0.8366525361	0.3974089938
97	0.8365936589	0.3969975547
98	0.8366893344	0.3966142831
99	0.8369763608	0.3958567372
100	0.8369690011	0.3954817768
101	0.8369616415	0.3951035336
102	0.8369469222	0.3947236359
103	0.8369027643	0.3941116619
104	0.8369248432	0.3937841358
105	0.8369910801	0.3932992313
106	0.8373149048	0.3926912411
107	0.8374768171	0.3921878177
108	0.8375136154	0.3915853752
109	0.8377859225	0.391006485
110	0.8380582296	0.3903805142
